Iterations	Scores	Mean Scores	Max Snake Lengths	Nb Turns
0	-3	-3	3	4
1	-2	-2	3	3
2	0	-1	3	1
3	-4	-2	3	5
4	0	-1	3	1
5	0	-1	3	1
6	0	-1	3	1
7	-9	-2	3	10
8	0	-2	3	1
9	-8	-2	3	9
10	-1	-2	3	2
11	-1	-2	3	2
12	-8	-2	3	9
13	0	-2	3	1
14	-4	-2	3	5
15	-13	-3	3	14
16	0	-3	3	1
17	-12	-3	3	13
18	82	0	4	20
19	86	5	4	16
20	0	4	4	1
21	0	4	4	1
22	93	8	4	9
23	84	11	4	18
24	-2	11	4	3
25	-1	10	4	2
26	-16	9	4	17
27	-2	9	4	3
28	-1	8	4	2
29	-8	8	4	9
30	-6	7	4	7
31	-3	7	4	4
32	-4	7	4	5
33	-8	6	4	9
34	-9	6	4	10
35	79	8	4	23
36	76	10	4	26
37	89	12	4	13
38	-10	11	4	11
39	0	11	4	1
40	-7	10	4	8
41	79	12	4	23
42	-13	11	4	14
43	-9	11	4	10
44	-8	11	4	9
45	-18	10	4	19
46	-13	9	4	14
47	-17	9	4	18
48	-1	9	4	2
49	-20	8	4	21
50	34	9	4	68
51	-208	4	4	209
52	-1480	-23	5	1683
53	-244	-27	5	245
54	-150	-29	5	203
55	-7	-29	5	109
56	307	-23	8	199
57	93	-21	8	9
58	219	-17	8	186
59	82	-15	8	20
60	-73	-16	8	74
61	358	-10	8	148
62	163	-7	8	242
63	62	-6	8	40
64	64	-5	8	38
65	-75	-6	8	177
66	87	-5	8	116
67	347	0	8	58
68	-99	-1	8	201
69	151	0	8	153
70	434	6	8	72
71	-79	5	8	181
72	39	6	8	63
73	272	9	8	32
74	66	10	8	36
75	-19	10	8	121
76	276	13	8	28
77	-70	12	8	172
78	76	13	8	26
79	357	17	9	250
80	266	20	9	38
81	346	24	9	59
82	360	28	9	45
83	71	29	9	31
84	94	29	9	109
85	473	35	9	85
86	1388	50	18	128
87	128	51	18	75
88	546	57	18	61
89	76	57	18	26
90	354	60	18	152
91	138	61	18	65
92	516	66	18	192
93	88	66	18	14
94	47	66	18	156
95	549	71	18	58
96	407	74	18	99
97	282	76	18	22
98	112	77	18	42
99	341	79	18	64
100	234	81	18	171
101	549	86	18	260
102	-32	84	18	235
103	146	85	18	158
104	433	88	18	73
105	324	91	18	81
106	333	93	18	72
107	935	101	18	177
108	23	100	18	79
109	429	103	18	178
110	687	108	18	275
111	526	112	18	182
112	247	113	18	57
113	-85	111	18	86
114	184	112	18	19
115	283	113	18	21
116	307	115	18	199
117	149	115	18	256
118	242	116	18	163
119	1082	124	18	131
120	767	130	18	143
121	283	131	18	122
122	1383	141	19	286
123	220	142	19	185
124	85	141	19	17
125	608	145	19	201
126	1729	157	23	292
127	803	163	23	107
128	70	162	23	32
129	564	165	23	144
130	115	165	23	88
131	394	166	23	112
132	225	167	23	79
133	553	170	23	54
134	620	173	23	189
135	305	174	23	100
136	742	178	23	168
137	522	180	23	85
138	259	181	23	146
139	775	185	23	337
140	215	185	23	89
141	299	186	23	106
142	271	187	23	33
143	173	187	23	30
144	147	187	23	56
145	500	189	23	107
146	226	189	23	130
147	406	190	23	100
148	607	193	23	52
149	-13	192	23	115
150	-145	190	23	348
151	1048	195	23	165
152	169	195	23	34
153	119	195	23	84
154	249	195	23	55
155	427	196	23	79
156	316	197	23	141
157	69	196	23	134
158	529	198	23	78
